longitude,latitude,Name,heritageno
138.8147981,-35.46798249,Off Myrtlegrove Road CURRENCY CREEK,14925
138.9660167,-35.48731056,Point Sturt Road POINT STURT VIA MILANG,14962
138.9815904,-35.4861422,Point Sturt Road POINT STURT VIA MILANG,14963
138.784633,-35.50269052,Goolwa Terrace GOOLWA,14931
138.7815828,-35.50079731,Cadell & Farquhar Streets GOOLWA,14956
138.7856089,-35.50121701,246 Liverpool Road GOOLWA,14955
138.7856805,-35.50195278,12 Brooking Street GOOLWA,14974
138.786952,-35.50196289,Chrystal Street GOOLWA,14958
138.7836426,-35.50243676,2 Cadell Street GOOLWA,14929
138.7853265,-35.50301333,Lot 236 B. F. Laurie Lane GOOLWA,14932
138.7846839,-35.50310772,Laurie Lane GOOLWA,14937
138.7837473,-35.50358998,Goolwa Terrace GOOLWA,14971
138.7862592,-35.50404997,Cutting Road GOOLWA,14973
138.784078,-35.50374374,Goolwa Terrace GOOLWA,14972
138.7788094,-35.5040302,Collingwood Street GOOLWA,14970
138.7855315,-35.50457361,Railway Cutting GOOLWA,14938
138.6120409,-33.83661562,Victoria Road CLARE,14431
138.6115518,-33.8367199,Victoria Road CLARE,14431
138.7747118,-35.5050241,5 Port Elliot Road GOOLWA,14969
138.7099181,-35.50821576,Mill Terrace MIDDLETON,14928
138.7837654,-35.5063576,13 Admiral Terrace GOOLWA,14954
138.4802857,-34.83904268,68 Esplanade SEMAPHORE,1784
138.4804525,-34.83907838,6 Newman Street SEMAPHORE,2983
138.4801456,-34.83937851,64 Esplanade SEMAPHORE,1783
138.6069417,-34.86314889,20 Walker Court ENFIELD,1747
138.5817974,-34.86740289,Churchill Road KILBURN,2950
138.5805246,-34.86765446,Churchill Road KILBURN,2952
138.5827804,-34.86866951,Churchill Road KILBURN,2953
138.5833089,-34.86887948,Churchill Road KILBURN,2955
138.5832472,-34.86946341,Churchill Road KILBURN,2951
138.5826367,-34.86994285,Churchill Road KILBURN,2954
138.5748192,-34.87087885,Tikalara Road REGENCY PARK,2978
138.5750221,-34.8706037,Tikalara Road REGENCY PARK,2978
138.5790554,-34.87386036,Pedder Crescent REGENCY PARK,2977
138.6433669,-34.88309478,41 Second Avenue KLEMZIG,1748
138.6038339,-34.85911632,2B Gurney Terrace ENFIELD,1746
138.4805934,-34.83637615,Esplanade SEMAPHORE,2981
138.5183625,-34.85820187,Station Place ALBERTON,1740
138.5015928,-34.84220006,BIRKENHEAD,2949
138.4979057,-34.83922413,1-7 Fletcher Road BIRKENHEAD,1745
138.4822637,-34.84028913,40 Blackler Street SEMAPHORE,1782
138.483444,-34.84065462,176-186 Military Road SEMAPHORE,1786
138.5180471,-34.85813974,55-61 Sussex Street ALBERTON,1743
138.6036506,-34.85918075,2B Gurney Terrace ENFIELD,1746
138.61888,-34.86047587,207-255 Hampstead Road NORTHFIELD,1754
138.5189319,-34.84899258,35 & 37 McNicol Street ROSEWATER,2979
138.6399135,-34.85076898,Hilltop Drive OAKDEN,21030
138.6392261,-34.85286851,18 Heritage Court OAKDEN,2960
138.6361957,-34.85385241,Fosters Road OAKDEN,21031
138.4815576,-34.78012667,Oliver Rogers Road OUTER HARBOR,1755
138.4919942,-34.81170519,274 Lady Gowrie Drive TAPEROO,2988
138.4878697,-34.82356315,212 Lady Gowrie Drive LARGS BAY,1753
138.4844884,-34.82456518,Esplanade LARGS BAY,1751
138.4875531,-34.82553977,11-15 Jetty Road LARGS BAY,1752
138.4866042,-34.82559145,198 Esplanade LARGS BAY,1750
138.5257082,-34.82586956,Old North Arm Road DRY CREEK,2972
138.629113,-34.84453272,Grand Junction Road NORTHFIELD,2959
138.5074579,-34.84288832,10 Todd Street PORT ADELAIDE,1780
138.5042312,-34.84328764,30 Commercial Road PORT ADELAIDE,2963
138.503872,-34.84338337,29 North Parade PORT ADELAIDE,1774
138.5064255,-34.84340282,116 Lipson Street PORT ADELAIDE,1766
138.5060358,-34.84341845,117 Lipson Street PORT ADELAIDE,1767
138.5065124,-34.84347449,114 Lipson Street PORT ADELAIDE,1765
138.5043775,-34.8435324,30 Commercial Road PORT ADELAIDE,2964
138.5059076,-34.84344455,Jane Street PORT ADELAIDE,18917
138.5061628,-34.84367309,111-111A Lipson Street PORT ADELAIDE,1764
138.507175,-34.84377463,255-265 St Vincent Street PORT ADELAIDE,1778
138.5046123,-34.8437917,62 Commercial Road PORT ADELAIDE,2965
138.5116983,-34.84377928,318-326 St Vincent Street PORT ADELAIDE,1779
138.5067542,-34.8439028,247 St Vincent Street PORT ADELAIDE,1777
138.5012119,-34.84413964,11 Nile Street PORT ADELAIDE,1773
138.5040536,-34.8442215,163 St Vincent Street PORT ADELAIDE,1776
138.5048579,-34.84409401,66 Commercial Road PORT ADELAIDE,2966
138.4991192,-34.84418154,9A Mundy Street PORT ADELAIDE,1772
138.4986268,-34.84429583,9A Mundy Street PORT ADELAIDE,3096
138.498936,-34.8442902,9A Mundy Street PORT ADELAIDE,3096
138.5070069,-34.84414808,St Vincent Street PORT ADELAIDE,2975
138.5051977,-34.84464612,74 Commercial Road PORT ADELAIDE,1758
138.5070728,-34.84484515,93 Lipson Street PORT ADELAIDE,1771
138.5093298,-34.84610006,Lipson Street PORT ADELAIDE,2971
138.5025571,-34.84530096,St Vincent Street PORT ADELAIDE,2976
138.5082025,-34.84690491,67 Lipson Street PORT ADELAIDE,1769
138.4992673,-34.84429414,9A Mundy Street PORT ADELAIDE,3096
138.5073379,-34.85020405,60-62 College Street PORT ADELAIDE,1756
138.5056002,-34.84631901,95 Dale Street PORT ADELAIDE,1760
138.5074789,-34.84552509,83-87 Lipson Street PORT ADELAIDE,1770
138.5057301,-34.84625954,95 Dale Street PORT ADELAIDE,1760
138.5064875,-34.84665124,142-150 Commercial Road PORT ADELAIDE,1757
138.5075602,-34.84678894,169 Commercial Road PORT ADELAIDE,1759
138.5082937,-34.84704473,67 Lipson Street PORT ADELAIDE,1769
138.5103108,-34.84484232,1-15 Fisher Street PORT ADELAIDE,1763
138.5057029,-34.84231758,4 McLaren Parade PORT ADELAIDE,2970
138.5042077,-34.84246728,Black Diamond Square PORT ADELAIDE,2962
138.5056723,-34.84277434,15 Divett Street PORT ADELAIDE,1762
138.5055221,-34.84288893,11-13 Divett Street PORT ADELAIDE,1761
138.5115399,-34.84295517,3-5 Santo Parade PORT ADELAIDE,1775
138.5119535,-34.84294764,7-9 Santo Parade PORT ADELAIDE,2973
138.5122927,-34.84294888,7-9 Santo Parade PORT ADELAIDE,2974
138.5063124,-34.8430197,126 Lipson Street PORT ADELAIDE,1768
138.4987965,-34.84446297,9A Mundy Street PORT ADELAIDE,3096
138.4978487,-34.84100828,230-246 Semaphore Road NEW PORT,24959
138.5820558,-34.85448504,500 Churchill Road KILBURN,24963
138.5657298,-35.28550028,Range Road WILLUNGA SOUTH,5285
138.555187,-35.29615843,Dunstan Road WILLUNGA SOUTH,5275
138.5569459,-35.29770209,Dunstan Road WILLUNGA SOUTH,5291
138.5502741,-35.30248861,Delabole Road WILLUNGA SOUTH,5274
138.7450909,-34.59838523,12-14 Dundas Street GAWLER,15420
138.7488345,-34.5984333,98-100 Murray Street GAWLER,15744
138.7461207,-34.59890754,Lot 3 Tod Street GAWLER,15906
138.7486327,-34.59903006,1 Tod Street GAWLER,15985
138.7493864,-34.59912367,93 Murray Street GAWLER,15743
138.7460062,-34.5995194,1 Scheibener Terrace GAWLER,15806
138.66011,-35.11847725,Scenic Road CLARENDON,5081
138.524254,-35.14742537,1 Olive Farm Place HUNTFIELD HEIGHTS,5232
138.6356362,-34.96388809,32 Cross Road MYRTLE BANK,3764
138.598248,-34.96491197,20 Victoria Avenue UNLEY PARK,3777
135.9881889,-34.16210732,Yeelana Road UNGARRA,16581
138.6606177,-34.94991704,631 Glynburn Road BEAUMONT,8367
138.660827,-34.94984831,631 Glynburn Road BEAUMONT,8367
138.6605689,-34.95038188,631 Glynburn Road BEAUMONT,8367
138.7540041,-34.76379456,One Tree Hill Road ONE TREE HILL,3368
138.7287552,-34.77216309,Crouch Road GOLDEN GROVE,3365
138.7237708,-34.77907022,One Tree Hill Road GOLDEN GROVE,3366
138.7037435,-34.7969107,52 Park Lake Drive WYNN VALE,3371
138.6972314,-34.81961294,Golden Grove Road RIDGEHAVEN,3369
138.7315777,-34.82107636,2 Haines Road TEA TREE GULLY,3372
138.6109749,-34.90644927,6-18 MacKinnon Parade NORTH ADELAIDE,1467
138.5995182,-34.90676086,33-37 Archer Street NORTH ADELAIDE,1426
