id,Record URL,XML,Name,Title,Publication,Description,Summary,Subject,Image,Series
b20602212,http://www.catalog.slsa.sa.gov.au/record=b2060221,http://www.catalog.slsa.sa.gov.au/xrecord=b2060221,"State Library of South Australia, photographer",Andrew Street,1963,Photograph  21.8 cm x 16 cm,"Andrew Street, north side, 27 September 1963. Left side of the light brick building is 31 yards east of Morphett Street. Frontage of buildings is 18 yards, i, .e, 1st: 4 yards  2nd: 5 yards  3rd: 8 1/2 yards",,http://images.slsa.sa.gov.au/mpcimg/15250/B15084.jpg,312
b20602224,http://www.catalog.slsa.sa.gov.au/record=b2060222,http://www.catalog.slsa.sa.gov.au/xrecord=b2060222,"State Library of South Australia, photographer",Morphett Street,1964,Photograph  21.4 cm x 15.4 cm,"Morphett Street, east side, 20 December 1964. Right side of building abuts Andrew Street, Morphett Street frontage: 30 yards",,http://images.slsa.sa.gov.au/mpcimg/15500/B15302.jpg,312
b20602236,http://www.catalog.slsa.sa.gov.au/record=b2060223,http://www.catalog.slsa.sa.gov.au/xrecord=b2060223,"State Library of South Australia, photographer",Morphett Street,1964,Photograph  21.4 cm x 15.4 cm,"Morphett Street, east side, 20 December 1964. Right side of building abuts Andrew Street. Morphett Street frontage: 30 yards",,http://images.slsa.sa.gov.au/mpcimg/15500/B15303.jpg,312
b20602248,http://www.catalog.slsa.sa.gov.au/record=b2060224,http://www.catalog.slsa.sa.gov.au/xrecord=b2060224,"State Library of South Australia, photographer","Grote Street, North Side",1980,photograph,"Grote Street, north side, 26 August 1980. Grote Street frontage: 40 2/3 yards. Left side of building abuts Morphett Street",,http://images.slsa.sa.gov.au/mpcimg/39000/B38908.jpg,312
b2060225x,http://www.catalog.slsa.sa.gov.au/record=b2060225,http://www.catalog.slsa.sa.gov.au/xrecord=b2060225,"State Library of South Australia, photographer","Grote Street, North Side",1980,photograph,"Grote Street, north side, 26 August 1980. Grote Street frontage: 40 2/3 yards. Left side of building abuts Morphett Street",,http://images.slsa.sa.gov.au/mpcimg/39000/B38909.jpg,312
b20601980,http://www.catalog.slsa.sa.gov.au/record=b2060198,http://www.catalog.slsa.sa.gov.au/xrecord=b2060198,"State Library of South Australia, photographer",Grote Street,1954,Photograph  14.3 cm x 8.3 cm,"Grote Street, north side, 22 February 1954. Right side of the E.S. and A. Bank is 10 yards west of Bowen Street, frontage: 10 yards. This building with only minor exterior alterations was converted from two shops to banking premises","English, Scottish and Australian Bank -- Buildings;Architecture -- South Australia -- Adelaide;Banks and banking -- South Australia -- Adelaide",http://images.slsa.sa.gov.au/mpcimg/13250/B13076.jpg,311
b20601992,http://www.catalog.slsa.sa.gov.au/record=b2060199,http://www.catalog.slsa.sa.gov.au/xrecord=b2060199,"State Library of South Australia, photographer",Bowen Street,1957,Photograph  14.1 cm x 8.0 cm,"Bowen Street, east side, 12 September 1957. Right side of centre cottage is 55 yards north of Grote Street. Frontage: 6 yards",,http://images.slsa.sa.gov.au/mpcimg/14000/B13903.jpg,311
b20602005,http://www.catalog.slsa.sa.gov.au/record=b2060200,http://www.catalog.slsa.sa.gov.au/xrecord=b2060200,"State Library of South Australia, photographer",Bowen Street,1957,Photograph  14.1 cm x 8.0 cm,"Bowen Street, east side, 12 September 1957. Right side of the house is 45 yards north of Grote Street, frontage: 9 1/2 yards",,http://images.slsa.sa.gov.au/mpcimg/14000/B13904.jpg,311
b20602017,http://www.catalog.slsa.sa.gov.au/record=b2060201,http://www.catalog.slsa.sa.gov.au/xrecord=b2060201,"State Library of South Australia, photographer",Bowen Street,1957,Photograph  14.1 cm x 8.0 cm,"Bowen Street, east side, 12 September 1957",,http://images.slsa.sa.gov.au/mpcimg/14000/B13905.jpg,311
b20602029,http://www.catalog.slsa.sa.gov.au/record=b2060202,http://www.catalog.slsa.sa.gov.au/xrecord=b2060202,"State Library of South Australia, photographer","Grote Street, North Side",1970,Photograph  21 cm x 16 cm,"Grote Street, north side, 3 April 1970. Left side of block abuts Bowen Street, east side. Frontage to Grote Street is 20 1/3 yards",,http://images.slsa.sa.gov.au/mpcimg/20000/B19782.jpg,311
